state_code,county_code,same_num,same_rate,similar_rate,long_name
CA,6059,160,0.85625,0.897172237,Orange County
CA,6061,50,0.88,0.9213893967093236,Placer County
CA,6063,1,1,0.9333333333333333,Plumas County
CA,6065,348,0.8591954022988506,0.8878883385862224,Riverside County
CA,6067,217,0.8663594470046083,0.914836993,Sacramento County
CA,6069,7,1,0.896551724,San Benito County
CA,6071,247,0.8421052631578947,0.874251497,San Bernardino County
CA,6073,285,0.8842105263157894,0.8995345228859581,San Diego County
CA,6075,95,0.9578947368421052,0.953405018,San Francisco County
CA,6077,91,0.8241758241758241,0.8939393939393939,San Joaquin County
CA,6079,26,0.7692307692307693,0.9006622516556292,San Luis Obispo County
CA,6081,38,0.9473684210526315,0.9591474245115453,San Mateo County
CA,6083,17,0.8823529411764706,0.9079754601226994,Santa Barbara County
CA,6085,68,0.7941176470588235,0.9233097880928355,Santa Clara County
CA,6087,12,0.75,0.9375,Santa Cruz County
CA,6089,16,0.9375,0.9044117647058824,Shasta County
CA,6093,1,1,0.9642857142857143,Siskiyou County
CA,6095,61,0.9180327868852459,0.9497307001795332,Solano County
CA,6097,44,0.9090909090909091,0.9329896907216495,Sonoma County
CA,6099,47,0.8723404255319149,0.889261745,Stanislaus County
CA,6101,12,0.8333333333333334,0.9333333333333333,Sutter County
CA,6103,6,0.8333333333333334,0.9459459459459459,Tehama County
CA,6105,1,1,0.7,Trinity County
CA,6107,32,0.96875,0.89,Tulare County
CA,6109,5,0.6,0.9333333333333333,Tuolumne County
CA,6111,46,0.9347826086956522,0.9156626506024096,Ventura County
CA,6113,18,0.8888888888888888,0.9487179487179487,Yolo County
CA,6115,23,0.7391304347826086,0.8507462686567164,Yuba County
CO,8001,108,0.7870370370370371,0.8813056379821959,Adams County
CO,8003,1,1,1,Alamosa County
CO,8005,72,0.9166666666666666,0.9133627019089574,Arapahoe County
CO,8007,1,1,0.9411764705882353,Archuleta County
CO,8013,19,0.8947368421052632,0.9315068493150684,Boulder County
CO,8014,5,0.4,0.875,Broomfield County
CO,8029,1,1,0.75,Delta County
CO,8031,72,0.9305555555555556,0.9463955637707948,Denver County
CO,8035,24,0.9583333333333334,0.9473684210526315,Douglas County
CO,8037,1,1,0.967741935,Eagle County
CO,8039,5,1,0.9642857142857143,Elbert County
CO,8041,104,0.8461538461538461,0.9453703703703704,El Paso County
CO,8043,6,0.8333333333333334,0.8571428571428571,Fremont County
CO,8045,3,1,0.88,Garfield County
CO,8047,2,1,1,Gilpin County
CO,8049,5,1,0.8823529411764706,Grand County
CO,8051,2,1,1,Gunnison County
CO,8059,46,0.9565217391304348,0.9596412556053812,Jefferson County
CO,8063,1,1,1,Kit Carson County
CO,8065,2,1,0.8888888888888888,Lake County
CO,8067,4,0.75,0.8461538461538461,La Plata County
CO,8069,30,0.8333333333333334,0.9106529209621993,Larimer County
CO,8075,1,1,1,Logan County
CO,8077,10,0.7,0.8636363636363636,Mesa County
CO,8081,2,1,0.8333333333333334,Moffat County
CO,8083,2,1,0.75,Montezuma County
CO,8085,5,0.8,0.8181818181818182,Montrose County
CO,8087,3,1,1,Morgan County
CO,8089,1,1,1,Otero County
CO,8091,2,0.5,1,Ouray County
CO,8093,3,1,0.9166666666666666,Park County
CO,8097,1,1,0.8181818181818182,Pitkin County
CO,8101,21,0.8095238095238095,0.8881118881118881,Pueblo County
CO,8103,2,1,1,Rio Blanco County
CO,8105,1,1,1,Rio Grande County
CO,8117,5,0.8,0.8775510204081632,Summit County
CO,8119,4,0.5,0.9333333333333333,Teller County
CO,8123,44,0.8863636363636364,0.883054893,Weld County
CT,9001,48,0.9583333333333334,0.9316239316239316,Fairfield County
CT,9003,44,0.9318181818181818,0.9018087855297158,Hartford County
CT,9005,7,1,0.9056603773584906,Litchfield County
CT,9007,5,0.8,0.926829268,Middlesex County
CT,9009,48,0.8125,0.9057591623036649,New Haven County
CT,9011,12,0.9166666666666666,0.936046512,New London County
CT,9013,2,1,1,Tolland County
CT,9015,10,0.8,0.9130434782608695,Windham County
DC,11001,89,0.9438202247191011,0.9614604462474645,District of Columbia
DE,10001,21,0.8571428571428571,0.841726619,Kent County
DE,10003,34,0.8529411764705882,0.9274193548387096,New Castle County
DE,10005,27,0.8888888888888888,0.8385650224215246,Sussex County
FL,12001,24,0.6666666666666666,0.8813559322033898,Alachua County
FL,12003,2,0.5,0.6875,Baker County
FL,12005,17,0.9411764705882353,0.7610619469026548,Bay County
FL,12007,2,1,0.7,Bradford County
FL,12009,41,0.9512195121951219,0.8783783783783784,Brevard County
FL,12011,148,0.8243243243243243,0.807277628,Broward County
FL,12015,22,0.8181818181818182,0.881578947,Charlotte County
FL,12017,11,0.7272727272727273,0.8490566037735849,Citrus County
FL,12019,18,0.8888888888888888,0.8506787330316742,Clay County
FL,12021,20,0.95,0.8415841584158416,Collier County
FL,12023,5,0.6,0.7575757575757576,Columbia County
FL,12027,4,0.75,0.8333333333333334,DeSoto County
FL,12031,74,0.8243243243243243,0.8547400611620795,Duval County
FL,12033,37,0.918918919,0.8358778625954199,Escambia County
FL,12035,8,1,0.875,Flagler County
FL,12037,2,1,0.75,Franklin County
FL,12041,1,1,0.7142857142857143,Gilchrist County
FL,12043,2,1,0.75,Glades County
FL,12045,1,1,0.5909090909090909,Gulf County
FL,12047,1,0,0.16666666666666666,Hamilton County
FL,12051,3,0.3333333333333333,0.6956521739130435,Hendry County
FL,12053,11,0.9090909090909091,0.8404907975460123,Hernando County
FL,12055,5,0.8,0.8863636363636364,Highlands County
FL,12057,121,0.859504132,0.879882813,Hillsborough County
FL,12061,11,0.8181818181818182,0.9473684210526315,Indian River County
FL,12063,2,0.5,0.45,Jackson County
FL,12065,2,1,0.7142857142857143,Jefferson County
FL,12069,56,0.75,0.8586118251928021,Lake County
FL,12071,59,0.86440678,0.8574181117533719,Lee County
FL,12073,12,0.8333333333333334,0.8860759493670886,Leon County
FL,12075,5,0.4,0.5,Levy County
FL,12081,34,0.9411764705882353,0.8575342465753425,Manatee County
FL,12083,34,0.6764705882352942,0.8159509202453987,Marion County
FL,12085,6,0.6666666666666666,0.86,Martin County
FL,12086,136,0.7941176470588235,0.7948303715670436,Miami-Dade County
FL,12087,9,0.6666666666666666,0.7631578947368421,Monroe County
FL,12089,9,0.6666666666666666,0.8207547169811321,Nassau County
FL,12091,10,0.6,0.8333333333333334,Okaloosa County
FL,12093,3,0.3333333333333333,0.5294117647058824,Okeechobee County
FL,12095,137,0.8029197080291971,0.8423127463863338,Orange County
FL,12097,77,0.8311688311688312,0.8099352051835853,Osceola County
FL,12099,94,0.8085106382978723,0.8525345622119815,Palm Beach County
FL,12101,61,0.9180327868852459,0.896551724,Pasco County
FL,12103,48,0.875,0.8526315789473684,Pinellas County
FL,12105,142,0.7887323943661971,0.7963855421686747,Polk County
FL,12107,2,0.5,0.5952380952380952,Putnam County
FL,12109,31,0.9354838709677419,0.9026128266033254,St. Johns County
FL,12111,45,0.7555555555555555,0.8664850136239782,St. Lucie County
FL,12113,8,0.875,0.8692307692307693,Santa Rosa County
FL,12115,28,0.8928571428571429,0.8947368421052632,Sarasota County
FL,12117,30,0.7,0.8860294117647058,Seminole County
FL,12119,9,1,0.8738738738738738,Sumter County
FL,12121,2,0.5,0.3448275862068966,Suwannee County
FL,12123,1,0,0.5,Taylor County
FL,12125,1,1,0.8333333333333334,Union County
FL,12127,49,0.7346938775510204,0.8568181818181818,Volusia County
FL,12129,1,1,0.8947368421052632,Wakulla County
FL,12131,17,0.7058823529411765,0.8012820512820513,Walton County
FL,12133,2,0.5,0.6666666666666666,Washington County
GA,13001,2,0.5,0.75,Appling County
GA,13009,3,0.6666666666666666,0.8,Baldwin County
GA,13011,2,1,0.8,Banks County
GA,13013,11,0.7272727272727273,0.9166666666666666,Barrow County
GA,13015,9,0.8888888888888888,0.8064516129032258,Bartow County
GA,13019,3,0.6666666666666666,0.8333333333333334,Berrien County
GA,13021,4,0.5,0.9666666666666667,Bibb County
GA,13029,2,0.5,0.8493150684931506,Bryan County
GA,13031,1,0,0.875,Bulloch County
GA,13033,1,1,0.8,Burke County
GA,13039,4,1,0.9347826086956522,Camden County
GA,13043,1,0,0.4,Candler County
GA,13045,5,1,0.8297872340425532,Carroll County
GA,13047,3,1,0.8857142857142857,Catoosa County
GA,13051,26,0.8461538461538461,0.8913043478260869,Chatham County
GA,13055,2,1,0.6,Chattooga County
GA,13057,17,1,0.9382022471910112,Cherokee County
GA,13059,3,0.6666666666666666,0.8666666666666667,Clarke County
GA,13063,5,1,0.8947368421052632,Clayton County
GA,13067,41,0.975609756,0.9122807017543859,Cobb County
GA,13069,2,0,0.7142857142857143,Coffee County
GA,13073,3,1,0.9308176100628931,Columbia County
GA,13075,1,1,0.75,Cook County
GA,13077,8,0.875,0.9464285714285714,Coweta County
GA,13085,2,1,0.8333333333333334,Dawson County
GA,13089,66,0.8636363636363636,0.9466292134831461,DeKalb County
GA,13097,11,0.9090909090909091,0.8163265306122449,Douglas County
GA,13099,1,1,0,Early County
GA,13103,3,1,0.8245614035087719,Effingham County
GA,13111,4,1,0.6,Fannin County
GA,13113,18,0.9444444444444444,0.9120879120879121,Fayette County
GA,13115,3,1,0.9142857142857143,Floyd County
GA,13117,13,1,0.92,Forsyth County
GA,13121,95,0.8736842105263158,0.8850325379609545,Fulton County
GA,13123,7,1,1,Gilmer County
GA,13127,2,0.5,0.5666666666666667,Glynn County
GA,13129,4,1,0.875,Gordon County
GA,13133,1,1,1,Greene County
GA,13135,61,0.8360655737704918,0.9069264069264069,Gwinnett County
GA,13137,2,1,0.75,Habersham County
GA,13139,9,0.6666666666666666,0.8494623655913979,Hall County
GA,13143,1,1,0.625,Haralson County
GA,13145,2,0.5,0.8260869565217391,Harris County
GA,13149,1,1,0.75,Heard County
GA,13151,13,0.8461538461538461,0.8333333333333334,Henry County
GA,13153,10,0.9,0.918918919,Houston County
GA,13157,3,1,0.9344262295081968,Jackson County
GA,13159,1,0,0.8181818181818182,Jasper County
GA,13169,1,1,0.6923076923076923,Jones County
GA,13171,4,0.25,0.75,Lamar County
GA,13175,3,0.6666666666666666,0.6923076923076923,Laurens County
GA,13177,2,0,1,Lee County
GA,13179,9,0.8888888888888888,0.8909090909090909,Liberty County
GA,13183,2,1,0.9354838709677419,Long County
GA,13185,2,1,0.875,Lowndes County
GA,13191,1,1,1,McIntosh County
GA,13195,1,0,0.6923076923076923,Madison County
GA,13197,1,1,1,Marion County
GA,13199,2,0.5,0.7692307692307693,Meriwether County
GA,13205,1,1,0.6666666666666666,Mitchell County
GA,13211,1,1,0.8333333333333334,Morgan County
GA,13213,2,0.5,1,Murray County
GA,13215,4,1,0.9516129032258065,Muscogee County
GA,13217,11,0.8181818181818182,0.9069767441860465,Newton County
GA,13219,1,1,0.9130434782608695,Oconee County
GA,13223,7,1,0.9067796610169492,Paulding County
GA,13227,2,0.5,0.9130434782608695,Pickens County
GA,13231,1,1,1,Pike County
GA,13233,4,0.5,0.65,Polk County
GA,13237,1,1,0.7692307692307693,Putnam County
GA,13241,1,1,0.8,Rabun County
GA,13245,16,0.875,0.8115942028985508,Richmond County
GA,13247,11,0.8181818181818182,0.8125,Rockdale County
GA,13255,4,1,0.8108108108108109,Spalding County
GA,13257,3,1,0.6666666666666666,Stephens County
GA,13261,1,0,0.46153846153846156,Sumter County
GA,13275,1,1,0.5714285714285714,Thomas County
GA,13277,1,1,0.6666666666666666,Tift County
GA,13283,1,0,0,Treutlen County
GA,13285,4,0.5,0.7777777777777778,Troup County
GA,13291,3,0.3333333333333333,0.8571428571428571,Union County
GA,13295,3,1,0.6060606060606061,Walker County
GA,13297,6,1,0.796875,Walton County
GA,13299,4,0.75,0.75,Ware County
GA,13305,1,1,0.5,Wayne County
GA,13311,4,0.75,0.8,White County
GA,13313,3,1,0.8666666666666667,Whitfield County
HI,15001,25,0.92,0.8650519031141869,Hawaii County
HI,15003,93,0.8924731182795699,0.8983382209188661,Honolulu County
HI,15007,6,0.8333333333333334,0.953125,Kauai County
HI,15009,22,0.8636363636363636,0.91,Maui County
IA,19013,1,1,0.9534883720930233,Black Hawk County
IA,19015,1,1,1,Boone County
IA,19039,1,0,1,Clarke County
IA,19049,9,0.6666666666666666,0.9222222222222223,Dallas County
IA,19059,1,1,0.6666666666666666,Dickinson County
IA,19061,2,0.5,0.9393939393939394,Dubuque County
IA,19073,1,1,1,Greene County
IA,19079,1,1,1,Hamilton County
IA,19087,1,1,1,Henry County
IA,19097,2,0.5,0.5,Jackson County
IA,19101,1,1,1,Jefferson County
IA,19103,18,1,0.9903846153846154,Johnson County
IA,19113,6,1,0.9225352112676056,Linn County
IA,19117,1,1,1,Lucas County
IA,19121,3,0.3333333333333333,0.8333333333333334,Madison County
IA,19123,1,1,0.8,Mahaska County
IA,19125,1,1,0.6666666666666666,Marion County
IA,19145,1,1,1,Page County
IA,19153,26,0.8461538461538461,0.939799331,Polk County
IA,19155,1,0,0.8709677419354839,Pottawattamie County
IA,19163,9,1,0.9540229885057471,Scott County
IA,19169,4,1,0.8709677419354839,Story County
IA,19181,2,0.5,0.9354838709677419,Warren County
IA,19183,1,1,1,Washington County
IA,19193,1,1,0.96875,Woodbury County
ID,16001,49,0.9183673469387755,0.9377777777777778,Ada County
ID,16005,1,1,0.925,Bannock County
ID,16009,2,1,1,Benewah County
ID,16011,1,1,0.8,Bingham County
ID,16013,1,1,1,Blaine County
ID,16017,3,1,0.9090909090909091,Bonner County
ID,16019,7,1,0.9047619047619048,Bonneville County
ID,16023,1,0,0.5,Butte County
ID,16027,21,1,0.9320987654320988,Canyon County
ID,16031,4,1,1,Cassia County
ID,16039,2,1,0.9629629629629629,Elmore County
ID,16045,2,1,1,Gem County
ID,16051,2,1,0.9333333333333333,Jefferson County
ID,16055,11,1,0.9719626168224299,Kootenai County
ID,16057,1,1,1,Latah County
ID,16059,1,1,1,Lemhi County
ID,16065,1,1,0.8235294117647058,Madison County
ID,16067,1,1,1,Minidoka County
ID,16069,3,0.6666666666666666,0.9615384615384616,Nez Perce County
ID,16071,2,1,1,Oneida County
ID,16081,2,1,0.7777777777777778,Teton County
ID,16083,5,0.8,0.896551724,Twin Falls County
IL,17001,1,1,0.8571428571428571,Adams County
IL,17007,1,1,0.75,Boone County
IL,17015,1,1,0.6666666666666666,Carroll County
IL,17019,16,0.9375,0.9074074074074074,Champaign County
IL,17021,2,1,0.5,Christian County
IL,17027,1,1,0.8,Clinton County
IL,17031,383,0.8798955613577023,0.9328984156570364,Cook County
IL,17037,2,0.5,0.8205128205128205,DeKalb County
IL,17043,41,0.9024390243902439,0.9386892177589852,DuPage County
IL,17049,3,1,1,Effingham County
IL,17055,1,1,0.6666666666666666,Franklin County
IL,17057,1,1,1,Fulton County
IL,17063,2,0.5,0.9,Grundy County
IL,17077,1,0,0.9285714285714286,Jackson County
IL,17085,2,1,1,Jo Daviess County
IL,17089,28,0.8571428571428571,0.94,Kane County
IL,17091,3,0.6666666666666666,0.875,Kankakee County
IL,17093,13,0.9230769230769231,0.8888888888888888,Kendall County
IL,17097,36,0.8333333333333334,0.9026315789473685,Lake County
IL,17099,4,1,1,LaSalle County
IL,17103,1,1,1,Lee County
IL,17105,2,1,0.8,Livingston County
IL,17111,7,1,0.9202898550724637,McHenry County
IL,17113,9,1,0.935064935,McLean County
IL,17115,3,1,0.7586206896551724,Macon County
IL,17117,1,0,0.8,Macoupin County
IL,17119,9,0.7777777777777778,0.9423076923076923,Madison County
IL,17121,2,0.5,0.8,Marion County
IL,17129,1,1,0.6,Menard County
IL,17131,2,0.5,0.6666666666666666,Mercer County
IL,17133,2,1,0.8,Monroe County
IL,17137,2,1,0.8,Morgan County
IL,17143,5,0.8,0.9358974358974359,Peoria County
IL,17147,1,1,1,Piatt County
IL,17161,5,1,0.9107142857142857,Rock Island County
IL,17163,13,1,0.8689655172413793,St. Clair County
IL,17165,1,0,1,Saline County
IL,17167,7,0.2857142857142857,0.8714285714285714,Sangamon County
IL,17177,1,1,0.6666666666666666,Stephenson County
IL,17179,8,1,0.9411764705882353,Tazewell County
IL,17181,1,1,0.5,Union County
IL,17195,2,0.5,0.8333333333333334,Whiteside County
IL,17197,45,0.9111111111111111,0.912751678,Will County
IL,17199,3,1,0.8095238095238095,Williamson County
IL,17201,9,1,0.9647058823529412,Winnebago County
IN,18001,1,1,0.75,Adams County
IN,18003,15,0.6666666666666666,0.8978494623655914,Allen County
IN,18005,3,0.6666666666666666,0.8648648648648649,Bartholomew County
IN,18011,1,1,0.9591836734693877,Boone County
IN,18015,1,1,1,Carroll County
IN,18017,1,1,0.6,Cass County
IN,18019,8,0.5,0.9102564102564102,Clark County
IN,18021,2,0.5,0.6666666666666666,Clay County
IN,18023,1,1,1,Clinton County
IN,18027,1,1,0,Daviess County
IN,18029,1,1,0.9230769230769231,Dearborn County
IN,18031,1,1,0.875,Decatur County
IN,18033,1,1,0.38461538461538464,DeKalb County
IN,18035,3,1,1,Delaware County
IN,18039,10,0.9,0.9594594594594594,Elkhart County
IN,18043,7,0.7142857142857143,0.9230769230769231,Floyd County
IN,18045,1,1,1,Fountain County
IN,18049,1,1,1,Fulton County
IN,18051,1,1,0.8888888888888888,Gibson County
IN,18057,17,1,0.9314079422382672,Hamilton County
IN,18059,4,1,0.8783783783783784,Hancock County
IN,18063,8,0.875,0.8979591836734694,Hendricks County
IN,18065,1,1,1,Henry County
IN,18067,3,1,0.8,Howard County
IN,18069,1,1,0.8571428571428571,Huntington County
IN,18077,2,0.5,0.8571428571428571,Jefferson County
IN,18081,13,0.7692307692307693,0.8588235294117647,Johnson County
IN,18085,1,1,0.8666666666666667,Kosciusko County
IN,18087,2,1,0.8333333333333334,LaGrange County
IN,18089,20,0.95,0.9299363057324841,Lake County
IN,18091,3,0.3333333333333333,0.9142857142857143,LaPorte County
IN,18093,4,0.75,0.875,Lawrence County
IN,18095,3,0.3333333333333333,0.9038461538461539,Madison County
IN,18097,63,0.9523809523809523,0.927360775,Marion County
IN,18099,1,1,0.8,Marshall County
IN,18103,3,0.6666666666666666,0,Miami County
IN,18105,6,0.8333333333333334,0.8767123287671232,Monroe County
IN,18109,2,0.5,0.9,Morgan County
IN,18127,5,1,0.9253731343283582,Porter County
IN,18129,1,1,0.5,Posey County
IN,18135,1,1,1,Randolph County
IN,18141,10,1,0.9166666666666666,St. Joseph County
IN,18143,4,0.75,0.5555555555555556,Scott County
IN,18145,1,1,0.75,Shelby County
IN,18149,1,1,1,Starke County
IN,18157,14,0.9285714285714286,0.9113924050632911,Tippecanoe County
IN,18163,6,1,0.9342105263157895,Vanderburgh County
IN,18167,4,0.75,0.9,Vigo County
IN,18169,2,1,1,Wabash County
IN,18173,1,1,1,Warrick County
IN,18175,1,1,1,Washington County
IN,18177,1,1,0.8095238095238095,Wayne County
IN,18183,1,1,1,Whitley County
KS,20015,3,1,0.8571428571428571,Butler County
KS,20035,1,1,0.8333333333333334,Cowley County
KS,20037,1,1,0.9285714285714286,Crawford County
KS,20045,11,0.9090909090909091,0.922077922,Douglas County
KS,20055,2,0.5,0.8,Finney County
KS,20061,3,1,0.8529411764705882,Geary County
KS,20077,1,0,0.5,Harper County
KS,20079,1,1,1,Harvey County
KS,20085,1,0,1,Jackson County
KS,20087,2,1,0.6,Jefferson County
KS,20091,22,0.9545454545454546,0.9518987341772152,Johnson County
KS,20103,2,1,0.7916666666666666,Leavenworth County
KS,20113,2,1,1,McPherson County
KS,20155,3,1,0.7894736842105263,Reno County
KS,20161,3,1,0.8444444444444444,Riley County
KS,20173,28,0.8214285714285714,0.8730650154798761,Sedgwick County
KS,20177,4,0.5,0.9041095890410958,Shawnee County
KS,20209,11,0.9090909090909091,0.8421052631578947,Wyandotte County
KY,21005,1,0,1,Anderson County
KY,21007,1,1,0,Ballard County
KY,21013,1,0,0.3333333333333333,Bell County
KY,21015,7,0.8571428571428571,0.9027777777777778,Boone County
KY,21019,1,1,0.7142857142857143,Boyd County
KY,21025,2,0.5,0,Breathitt County
KY,21027,1,1,0.875,Breckinridge County
KY,21029,6,0.8333333333333334,0.8205128205128205,Bullitt County
KY,21033,1,1,0.6666666666666666,Caldwell County
KY,21037,7,0.5714285714285714,0.8636363636363636,Campbell County
KY,21047,1,1,0.8333333333333334,Christian County
KY,21049,1,1,0.7142857142857143,Clark County
KY,21059,5,1,0.875,Daviess County
KY,21067,10,0.9,0.9174311926605505,Fayette County
KY,21069,1,1,0.25,Fleming County
KY,21071,1,0,0.42857142857142855,Floyd County
KY,21073,1,1,0.9047619047619048,Franklin County
KY,21079,2,0,0.625,Garrard County
KY,21081,2,1,0.5555555555555556,Grant County
KY,21085,1,1,0.8571428571428571,Grayson County
KY,21089,2,0.5,0.875,Greenup County
KY,21093,2,1,0.8142857142857143,Hardin County
KY,21095,1,0,0.125,Harlan County
KY,21097,2,0.5,0.6,Harrison County
KY,21101,1,1,0.6666666666666666,Henderson County
KY,21107,2,1,0.6153846153846154,Hopkins County
KY,21111,39,0.9487179487179487,0.8888888888888888,Jefferson County
KY,21113,2,0,0.875,Jessamine County
KY,21117,8,0.75,0.9139784946236559,Kenton County
KY,21125,1,0,0.5625,Laurel County
KY,21145,1,1,0.75,McCracken County
KY,21151,1,0,0.8108108108108109,Madison County
KY,21173,1,1,0.7,Montgomery County
KY,21179,2,1,0.75,Nelson County
KY,21185,5,1,0.9696969696969697,Oldham County
KY,21191,1,1,0.8,Pendleton County
